n,descripcion
1,PROMEDIO PONDERADO
2,"PRIMERAS ENTRADAS, PRIMERAS SALIDAS"
3,EXISTENCIAS BÁSICAS
4,DETALLISTA
5,IDENTIFICACIÓN ESPECÍFICA
9,OTROS
